Geo-Name;Geo-ID;Jahr;Pflichtschule*;Lehre;BMS;AHS;BHS;Kolleg;AkademikerInnen
Wien;Wien;2008;22,05;26,58;11,84;9,96;8,3;1,02;20,26
Wien;Wien;2009;22,71;25,76;11,53;9,85;8,11;1,04;20,99
Wien;Wien;2010;23,04;25,18;11,28;10;8,12;1,02;21,36
Wien;Wien;2011;23,17;24,67;11,12;9,9;8,1;0,98;22,07
Wien;Wien;2012;23,26;24,01;10,89;9,79;8,13;0,99;22,93
Wien;Wien;2013;23,77;23,22;10,58;9,73;7,95;0,99;23,77
Wien;Wien;2014;24,06;22,53;10,37;9,74;7,96;1;24,34
Wien;Wien;2015;22,53;23,19;9,89;10,42;7,88;0,96;25,13
Wien;Wien;2016;22,43;22,82;9,74;10,56;7,82;0,98;25,65
Wien;Wien;2017;21,97;22,61;9,66;10,91;7,69;1;26,16
Wien;Wien;2018;21,72;22,09;9,46;11,12;7,56;1;27,06
Wien;Wien;2019;21,42;21,63;9,28;11,18;7,53;1,02;27,93
Wien;Wien;2020;21,34;21,06;9,07;11,26;7,5;1,03;28,73
Wien;Wien;2021;21,16;20,68;8,88;11,29;7,44;1,04;29,51
Wien;Wien;2022;21,02;20,13;8,82;11,28;7,38;1,04;30,32
Wien;Wien;2023;21,05;19,65;8,62;11,3;7,3;1,04;31,03
1. Innere Stadt;90100;2008;11,68;13,02;8,88;16,1;7,45;1,33;41,53
1. Innere Stadt;90100;2009;12,03;12,83;8,48;15,98;7,09;1,3;42,3
1. Innere Stadt;90100;2010;11,65;12,32;8,35;16,15;7,19;1,23;43,11
1. Innere Stadt;90100;2011;11,27;11,9;7,95;16,12;6,74;1,25;44,77
1. Innere Stadt;90100;2012;11,1;11,7;7,79;15,65;6,77;1,16;45,84
1. Innere Stadt;90100;2013;10,97;11,18;7,63;15,29;6,83;1,18;46,91
1. Innere Stadt;90100;2014;10,71;10,98;7,58;15,12;6,82;1,2;47,61
1. Innere Stadt;90100;2015;9,59;10,1;7,82;14,81;7,21;1,21;49,27
1. Innere Stadt;90100;2016;9,29;10,23;7,63;15,26;6,93;1,09;49,57
1. Innere Stadt;90100;2017;8,88;10,17;7,81;15,63;6,95;1,02;49,55
1. Innere Stadt;90100;2018;8,65;9,51;7,53;15,7;7;1,06;50,54
1. Innere Stadt;90100;2019;8,55;9,2;7,07;15,46;7,04;1,1;51,58
1. Innere Stadt;90100;2020;8,09;9,06;6,92;15,5;6,97;0,97;52,49
1. Innere Stadt;90100;2021;8,13;8,68;6,87;15,34;7,04;0,9;53,04
1. Innere Stadt;90100;2022;7,72;9,18;7,14;15,04;6,8;0,98;53,15
1. Innere Stadt;90100;2023;7,36;9,1;7,07;15,27;6,82;0,97;53,42
2. Leopoldstadt;90200;2008;24,89;24,56;9,79;10,41;7,74;0,91;21,71
2. Leopoldstadt;90200;2009;25,35;23,58;9,5;10,19;7,49;0,95;22,94
2. Leopoldstadt;90200;2010;25,91;22,92;9,08;10,38;7,39;0,96;23,37
2. Leopoldstadt;90200;2011;25,85;22,22;8,96;10,2;7,34;0,9;24,54
2. Leopoldstadt;90200;2012;24,89;21,38;8,85;10,19;7,47;0,93;26,29
2. Leopoldstadt;90200;2013;25,13;20,57;8,4;10,18;7,32;0,92;27,48
2. Leopoldstadt;90200;2014;24,82;19,65;8,32;10,34;7,34;0,93;28,6
2. Leopoldstadt;90200;2015;22,82;20,04;7,79;11,01;7,25;0,87;30,22
2. Leopoldstadt;90200;2016;22,3;19,66;7,71;11,13;7,23;0,89;31,08
2. Leopoldstadt;90200;2017;21,41;19,36;7,65;11,52;7,13;0,91;32,04
2. Leopoldstadt;90200;2018;20,76;18,62;7,49;11,7;6,91;0,91;33,61
2. Leopoldstadt;90200;2019;19,97;17,83;7,49;11,84;6,79;0,97;35,1
