Geo-Name;Geo-ID;Jahr;Nettoeinkommen
90000;90000;2002;18217
90000;90000;2003;18337
90000;90000;2004;18489
90000;90000;2005;18948
90000;90000;2006;19290
90000;90000;2007;19769
90000;90000;2008;20206
90000;90000;2009;20802
90000;90000;2010;20685
90000;90000;2011;20594
90000;90000;2012;20890
90000;90000;2013;20956
90000;90000;2014;21143
90000;90000;2015;21271
90000;90000;2016;22173
90000;90000;2017;22362
90000;90000;2018;22943
90000;90000;2019;23552
90000;90000;2020;24401
90000;90000;2021;24992
90000;90000;2022;26005
90000;90000;2023;27897
1. Innere Stadt;90100;2002;25463
1. Innere Stadt;90100;2003;26571
1. Innere Stadt;90100;2004;26854
1. Innere Stadt;90100;2005;28638
1. Innere Stadt;90100;2006;29234
1. Innere Stadt;90100;2007;31095
1. Innere Stadt;90100;2008;31213
1. Innere Stadt;90100;2009;32264
1. Innere Stadt;90100;2010;33419
1. Innere Stadt;90100;2011;34333
1. Innere Stadt;90100;2012;33111
1. Innere Stadt;90100;2013;32852
1. Innere Stadt;90100;2014;32493
1. Innere Stadt;90100;2015;31526
1. Innere Stadt;90100;2016;34748
1. Innere Stadt;90100;2017;34482
1. Innere Stadt;90100;2018;33256
1. Innere Stadt;90100;2019;34567
1. Innere Stadt;90100;2020;36561
1. Innere Stadt;90100;2021;37250
1. Innere Stadt;90100;2022;38198
1. Innere Stadt;90100;2023;40232
2. Leopoldstadt;90200;2002;16439
2. Leopoldstadt;90200;2003;16549
2. Leopoldstadt;90200;2004;16640
2. Leopoldstadt;90200;2005;17074
2. Leopoldstadt;90200;2006;17458
2. Leopoldstadt;90200;2007;18008
2. Leopoldstadt;90200;2008;18481
2. Leopoldstadt;90200;2009;19023
2. Leopoldstadt;90200;2010;18998
2. Leopoldstadt;90200;2011;18838
2. Leopoldstadt;90200;2012;19315
2. Leopoldstadt;90200;2013;19518
2. Leopoldstadt;90200;2014;19887
2. Leopoldstadt;90200;2015;20289
2. Leopoldstadt;90200;2016;21177
2. Leopoldstadt;90200;2017;21527
2. Leopoldstadt;90200;2018;22286
2. Leopoldstadt;90200;2019;23175
2. Leopoldstadt;90200;2020;24142
2. Leopoldstadt;90200;2021;24930
2. Leopoldstadt;90200;2022;25999
2. Leopoldstadt;90200;2023;28183
3. Landstraße;90300;2002;18701
3. Landstraße;90300;2003;18940
3. Landstraße;90300;2004;19290
3. Landstraße;90300;2005;19799
3. Landstraße;90300;2006;20210
3. Landstraße;90300;2007;20908
3. Landstraße;90300;2008;21410
3. Landstraße;90300;2009;22075
3. Landstraße;90300;2010;22166
3. Landstraße;90300;2011;22054
3. Landstraße;90300;2012;22551
3. Landstraße;90300;2013;22519
3. Landstraße;90300;2014;23026
3. Landstraße;90300;2015;23269
3. Landstraße;90300;2016;24267
3. Landstraße;90300;2017;24525
3. Landstraße;90300;2018;24172
3. Landstraße;90300;2019;25751
3. Landstraße;90300;2020;26665
3. Landstraße;90300;2021;27450
3. Landstraße;90300;2022;28646
3. Landstraße;90300;2023;30702
4. Wieden;90400;2002;20325
4. Wieden;90400;2003;20730
4. Wieden;90400;2004;21126
4. Wieden;90400;2005;21767
4. Wieden;90400;2006;22350
4. Wieden;90400;2007;23221
4. Wieden;90400;2008;23552
4. Wieden;90400;2009;24303
4. Wieden;90400;2010;24069
4. Wieden;90400;2011;23672
4. Wieden;90400;2012;24524
4. Wieden;90400;2013;24208
4. Wieden;90400;2014;24199
4. Wieden;90400;2015;24022
4. Wieden;90400;2016;24719
4. Wieden;90400;2017;25325
4. Wieden;90400;2018;25878
4. Wieden;90400;2019;26785
4. Wieden;90400;2020;28103
4. Wieden;90400;2021;29010
4. Wieden;90400;2022;29378
4. Wieden;90400;2023;31167
5. Margareten;90500;2002;16258
5. Margareten;90500;2003;16402
5. Margareten;90500;2004;16484
5. Margareten;90500;2005;16873
5. Margareten;90500;2006;17295
5. Margareten;90500;2007;17682
5. Margareten;90500;2008;18203
5. Margareten;90500;2009;18810
5. Margareten;90500;2010;18659
5. Margareten;90500;2011;18532
5. Margareten;90500;2012;18736
5. Margareten;90500;2013;18801
5. Margareten;90500;2014;18952
5. Margareten;90500;2015;19039
5. Margareten;90500;2016;19794
5. Margareten;90500;2017;20056
5. Margareten;90500;2018;20479
5. Margareten;90500;2019;21465
5. Margareten;90500;2020;22383
5. Margareten;90500;2021;23096
5. Margareten;90500;2022;24139
5. Margareten;90500;2023;25884
6. Mariahilf;90600;2002;18724
6. Mariahilf;90600;2003;19059
6. Mariahilf;90600;2004;19132
6. Mariahilf;90600;2005;19714
6. Mariahilf;90600;2006;20273
6. Mariahilf;90600;2007;21037
6. Mariahilf;90600;2008;21462
6. Mariahilf;90600;2009;21954
6. Mariahilf;90600;2010;22083
6. Mariahilf;90600;2011;21989
6. Mariahilf;90600;2012;22183
6. Mariahilf;90600;2013;22133
6. Mariahilf;90600;2014;22505
6. Mariahilf;90600;2015;22356
6. Mariahilf;90600;2016;23150
6. Mariahilf;90600;2017;23570
6. Mariahilf;90600;2018;23971
6. Mariahilf;90600;2019;24769
6. Mariahilf;90600;2020;25673
6. Mariahilf;90600;2021;26528
6. Mariahilf;90600;2022;27672
6. Mariahilf;90600;2023;29367
7. Neubau;90700;2002;18429
7. Neubau;90700;2003;18941
7. Neubau;90700;2004;19046
7. Neubau;90700;2005;19778
7. Neubau;90700;2006;20885
7. Neubau;90700;2007;21191
7. Neubau;90700;2008;21804
7. Neubau;90700;2009;22700
7. Neubau;90700;2010;22694
7. Neubau;90700;2011;22659
7. Neubau;90700;2012;22992
7. Neubau;90700;2013;23093
7. Neubau;90700;2014;23505
7. Neubau;90700;2015;23538
7. Neubau;90700;2016;24327
7. Neubau;90700;2017;24654
7. Neubau;90700;2018;25100
7. Neubau;90700;2019;26215
7. Neubau;90700;2020;27222
7. Neubau;90700;2021;27866
7. Neubau;90700;2022;29378
7. Neubau;90700;2023;31524
8. Josefstadt;90800;2002;20108
8. Josefstadt;90800;2003;20345
8. Josefstadt;90800;2004;20645
8. Josefstadt;90800;2005;21842
8. Josefstadt;90800;2006;22329
8. Josefstadt;90800;2007;22698
8. Josefstadt;90800;2008;22995
