;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
Affenpinscher;;;;;;;
Afghan Hound;Dignified, Profoundly Loyal, Aristocratic;63.5;68.58;22.6796185;27.2155422;0.8;Energetic
Airedale Terrier;Friendly, Clever, Courageous;58.42;58.42;22.6796185;31.751465900000003;0.6;Regular Exercise
Akita;Courageous, Dignified, Profoundly Loyal;60.96;71.12;31.751465900000003;58.9670081;0.8;Energetic
Alaskan Malamute;Affectionate, Loyal, Playful;58.42;63.5;34.01942775;38.55535145;0.8;Energetic
American Bulldog;Loyal, Self-Confident;50.8;63.5;27.2155422;45.359237;0.8;Energetic
American English Coonhound;Sweet, Mellow, Sociable;58.42;66.04;20.41165665;29.48350405;0.8;Energetic
American Eskimo Dog;Playful, Perky, Smart;22.86;48.26;2.7215542200000002;15.875732950000002;0.8;Energetic
American Foxhound;Independent, Easy-Going, Sweet-Tempered;53.34;63.5;27.2155422;31.751465900000003;0.8;Energetic
American Hairless Terrier;Energetic, Alert, Curious;30.48;40.64;5.4431084400000005;7.25747792;;
American Leopard Hound;Sociable, Energetic, Intelligent;53.34;68.58;20.4116566;31.751465900000003;0.8;Energetic
American Staffordshire Terrier;Confident, Smart, Good-Natured;43.18;48.26;18.143694800000002;31.751465900000003;0.6;Regular Exercise
American Water Spaniel;Eager, Happy, Charming;38.1;45.72;11.33980925;20.41165665;0.6;Regular Exercise
Anatolian Shepherd Dog;Loyal, Independent, Reserved;68.58;73.66;36.287389600000004;68.0388555;0.6;Regular Exercise
Appenzeller Sennenhund;Agile, Versatile, Lively;48.26;55.88;21.772433760000002;31.751465900000003;1.0;Needs Lots of Activity
Australian Cattle Dog;Alert, Curious, Pleasant;43.18;50.8;15.875732950000002;22.6796185;1.0;Needs Lots of Activity
Australian Kelpie;Loyal, Alert, Intelligent;43.18;50.8;;;0.8;Energetic
Australian Shepherd;Smart, Work-Oriented, Exuberant;45.72;58.42;18.143694800000002;29.48350405;0.8;Energetic
Australian Stumpy Tail Cattle Dog;Alert, Trainable, Comical;43.18;50.8;14.51495584;20.41165665;0.8;Energetic
Australian Terrier;Affectionate, Courageous, Spirited;25.40;27.94;6.80388555;9.071847400000001;0.8;Energetic
Azawakh;Loyal, Independent, Deeply Affectionate;59.69;73.66;14.968548210000002;24.947580350000003;0.6;Regular Exercise
Barbet;Friendly, Bright, Sweet-Natured;48.26;62.230000000000004;15.875732950000002;29.48350405;0.6;Regular Exercise
Basenji;Independent, Smart, Poised;40.64;43.18;9.979032140000001;10.886216880000001;0.8;Energetic
